PRUEBA,PRECIO
1001Pol,787.02
1002,561.89
1004,604.39
1005,666.77
1006,562.59
1007/85,596.17
1009,792.21
1010,875.32
1011,666.77
1012,3126.97
1013,792.21
1014,1462.72
1015,1146.40
1016,792.21
1017,1041.70
1018,800.76
1019,4401.91
1020,3251.90
1021,1959.18
1022,1650.89
1023,2521.93
1024,875.32
1025,792.21
1026,1959.18
1027,1292.58
1028,1442.00
1029,2155.03
1030,1409.79
1031,1500.78
1032/85,641.92
1033,1238.26
1034,666.77
1035/85,641.92
1036,792.21
1037,875.32
1038,937.85
1039,708.74
1041,1251.11
1042,984.31
1043,583.83
1044,730.00
1045Pol,2729.26
1046,2751.37
1047,583.31
1048,577.99
1049,625.12
1050,10201.40
1052,2330.50
1054,8681.12
1055,1375.69
1057,10201.40
1058,1513.45
1059,2842.85
1060Pol,2197.16
1062,1513.45
1063,12246.81
1064Pol,3411.62
1067,3218.99
1069,1146.40
1071,1329.93
1073,1500.78
1075,1750.62
1076,2395.98
1079,3152.52
1080,1134.92
1081,1475.76
1083,1375.69
1084,1375.69
1085,798.03
1086,1150.69
1089,2292.63
1090,1250.60
1091,1000.41
1092,2292.63
1093,1475.76
1094,1000.41
1095,9819.32
1096,9273.82
1097,10820.37
1098,6559.68
1099,6175.30
1100,666.77
1101,11335.18
1101Pol,13062.19
1102,6025.41
1103,5695.31
1104,10798.47
1105,5337.56
1106,9299.60
1107,5695.31
1108,6025.41
1109,9273.68
1110,9136.08
1111,1222.32
1112,741.31
1113,843.44
1114,1242.20
1114Pol,1951.93
1115,536.70
1116,1533.85
1117,1874.71
1118,2834.14
1119,741.31
1120,916.96
1121Pol,1509.60
1122Vit,3008.08
1123Pol,834.78
1124Pol,1205.48
1125Vit,1450.36
1126,1111.97
1127,997.50
1128,1235.69
1129,2729.78
1130Vit,1040.33
1131Pol,1104.24
1132,1099.44
1133Vit,2008.67
1134Pol,1205.13
1135,767.18
1136,830.59
1137,1781.80
1138,527.11
1139,1452.97
1140,1767.07
1141,1528.88
1142Tef,15277.55
1143Tef,12981.16
1144Tef,13644.45
1145,1314.86
1146,4663.06
1147,4441.65
1148,4440.97
1149,1704.54
1150,3145.33
1151,405.78
1152,1293.61
1153/85,875.83
1154Vit,2663.57
1155/85,521.10
1156/85,663.86
1157/85,663.86
1158,5833.79
1159,1873.64
1160,545.62
1161,668.48
1162,717.32
1163,717.32
1164,717.32
1165,717.32
1166,757.75
1167,757.75
1168,872.06
1169,1065.02
1170,1384.43
1171,1576.35
1172,2023.09
1173,913.69
1174,608.17
1175,717.32
1176,757.75
1177,872.06
1178,1067.23
1179,2554.49
1180,3581.94
1181Pol,923.82
1182Vit,3005.18
1183Vit,2787.79
1184Vit,2862.11
1185Vit,2398.59
1186,805.22
1187Pol,970.31
1188Pol,1439.40
1189,1722.00
1190,2514.04
1191,1839.91
1192,2030.10
1193,574.57
1194/85,592.56
1195/85,617.58
1196Pol,3683.60
1197Pol,743.04
1197Vit,1543.17
1198Pol,1803.48
1198Vit,3006.80
1199,895.53
1200/85,564.29
1201,3300.59
1202Pol,836.39
1202Vit,2230.75
1203,1093.12
1204/85,750.04
1205/85,750.04
1206,1095.52
1207/85,727.26
1208Vit,3262.44
1209,913.87
1210,960.14
1211,2125.39
1212,2236.08
1213,1310.05
1214,3088.96
1215,4966.02
1216,1007.26
1217,1725.09
1218,1533.34
1219,919.71
1220/85,875.83
1221/85,875.83
1222/85,700.19
1223/85,700.19
1224/85,727.26
1225/85,589.48
1226,787.74
1227,2512.66
1228/85,1107.86
1229,679.79
1230,754.85
1231,1254.71
1232,1991.03
1233Vit,4207.64
1234,831.28
1235Vit,9214.00
1236/85,883.19
1237Sil,1582.84
1238Vit,5890.23
1239,1857.21
1240Vit,2714.54
1241,766.66
1242,915.93
1243,2635.86
1244,632.84
1245,1384.43
1246,425.83
1247,468.68
1248,1757.13
1249,740.97
1250,740.97
1251Vit,1571.52
1252,843.26
1253,843.26
1254Vit,5714.74
1255,681.50
1256Pol,883.42
1257Vit,8620.61
1258Vit,11004.83
1259Vit,5020.15
1260,1464.12
1261Vit,5671.60
1262,958.76
1263,609.01
1264Pol,1693.25
1265Pol,1445.87
1266Vit,3006.80
1267Vit,1843.32
1268,1264.98
1269,788.09
1270,1181.87
1271,1034.35
1272Vit,2610.42
1273Vit,5355.12
1274Pol,1039.07
1275,1690.65
1276,1522.72
1277,8917.24
1278Pol,2329.29
1280Vit,15299.77
1281,1788.83
1282,2249.43
1283,751.42
1286Tef,11238.98
1287,553.84
1288Pol,1325.59
1289,2236.10
1290Vit,3212.53
1291,507.05
1292,958.43
1293,958.43
1294,1235.69
1295,1426.93
1296,553.67
1297,4621.42
1298,427.02
1299,2981.69
1300,2129.68
1301,1979.90
1302Vit,5354.79
1303,2893.61
1304,2106.39
1305/85,4300.62
1306/85,3809.16
1307,915.93
1308,915.93
1309,915.93
1310,979.34
1311,1150.01
1312,1150.01
1313,1213.92
1314,1384.43
1315,1575.84
1316,2023.09
1317,3300.90
1318,3854.59
1319,574.92
1320,405.61
1321,425.83
1322,425.83
1323,425.83
1324,468.51
1325,446.22
1326,468.51
1327,511.17
1328,535.68
1329,553.84
1330,553.84
1331,553.84
1332,574.92
1333,574.92
1334,574.92
1335,574.92
1336,574.92
1337,574.92
1338,617.58
1339,617.58
1340,2612.23
1341,702.76
1342,730.00
1343,730.00
1344,766.50
1345,830.59
1346,830.59
1347,1064.83
1348,1150.01
1349,1852.75
1350,2023.09
1351,1937.91
1352,2236.10
1353,2236.10
1354,2470.33
1355,2656.94
1356,669.34
1357,679.45
1358,766.66
1359,803.18
1360,920.03
1361Pol,1716.23
1362,3671.07
1363Vit,3632.07
1364,1767.60
1365Pol,878.57
1366,346.15
1367Pol,1072.29
1368,5325.54
1369,2573.34
1370,516.48
1371Pol,1320.56
1372,814.99
1373Tef,22587.92
1374Tef,24394.79
1376,891.42
1377/85,554.52
1378,485.13
1380,1206.05
1381,1387.67
1382,2411.58
1383,2475.13
1384Vit,14191.87
1385Tef,9461.32
1386,2296.58
1387Vit,2847.87
1388Vit,816.74
1389Vit,1306.80
1390,1221.63
5025,396.70
5025Sil,657.22
5027,764.45
5027Sil,1343.01
5029,502.08
5029Pol,1142.83
5029Sil,857.21
5029Vit,2571.65
5030,447.60
5031,400.13
5031Pol,628.68
5031Sil,714.14
5031Vit,1771.51
5032,447.60
5033,1135.96
5033Vit,4271.71
5035,1177.58
5035Sil,1850.32
5036,1177.58
5038,860.06
5039,684.41
5040,487.18
5045,502.08
5045Pol,1020.21
5045Sil,765.48
5047,746.28
5048,746.28
5050,535.85
5052,541.16
5053,502.08
5053Sil,1085.93
5056,604.39
5056Sil,925.26
5056Vit,2714.54
5057,546.30
5057Sil,971.58
5060,634.73
5063,1185.30
5063Sil,2228.76
5065,546.30
5065Sil,833.34
5065Vit,2224.63
5069,1026.11
5069Sil,1285.91
5070,502.08
5070Sil,765.48
5071,578.86
5071Sil,1061.68
5072,546.30
5072Sil,1001.55
5072Vit,2857.44
5074,378.88
5075,429.94
5077,502.08
5078,414.53
5078Sil,620.61
5079,722.80
5080,1090.03
5080Sil,2000.06
5080Vit,4533.97
5081,502.08
5083,631.30
5084,502.08
5084Sil,1142.83
5085,426.86
5085Sil,620.61
5086,502.08
5086Sil,765.48
5087,509.29
5087Sil,827.59
5088,578.86
5089,502.08
5090,502.08
5090Pol,1000.12
5090Sil,918.43
5091,1514.32
5092,650.49
5092Pol,1270.13
5093,746.28
5094,1413.90
5094Sil,2285.85
5095,904.10
5096,430.64
5097,546.30
5097Sil,1001.55
5099,999.20
5100,546.30
5101,638.49
5102,638.49
5103,595.48
5104,673.79
5105,447.60
5106,1505.24
5107,1379.96
5108,1832.89
5108Sil,2880.26
5109,1450.56
5111,904.10
5111Sil,1679.77
5112,426.51
5112Sil,714.31
5119,461.14
5119Sil,914.48
5120,631.30
5120Sil,965.46
5121,671.74
5121Sil,1020.05
5122,638.49
5123,546.30
5123Pol,1200.11
5123Sil,834.23
5124,643.81
5125,1696.29
5127,604.39
5127Sil,1028.65
5128,1047.02
5128Sil,1714.43
5129,1004.18
5129Sil,1657.35
5130,546.30
5130Sil,1001.55
5130Vit,2857.44
5131,502.08
5132,447.60
5133,414.53
5133Sil,657.76
5134,447.60
5134Sil,804.44
5134Vit,2143.13
5135,388.98
5135Sil,592.96
5136,673.79
5137,765.98
5138,426.51
5138Vit,2143.13
5139,546.30
5140,447.60
5141,673.79
5141Sil,1029.74
5141Vit,2745.94
5142,1047.02
5142Sil,1479.26
5142Vit,3944.61
5143,1227.97
5144,638.49
5144Sil,1142.83
5145,1047.02
5145Sil,1657.35
5145Vit,3944.48
5146,819.11
5146Sil,1530.24
5146Vit,3400.30
5147,1047.02
5147Sil,1479.26
5148,478.44
5148Sil,869.96
5148Vit,2428.74
5149,671.74
5150,1246.82
5151,877.02
5151Sil,1239.24
5151Vit,3304.63
5152,546.30
5152Sil,1000.12
5153,671.74
5154,638.49
5154Sil,1200.11
5154Vit,2857.44
5155,604.39
5155Pol,925.26
5155Sil,1085.93
5157,578.86
5158,498.67
5159,904.10
5160,722.80
5160Pol,1142.83
5161,1151.39
5163,604.39
5163Sil,1110.17
5165,502.08
5165Sil,857.21
5167,546.30
5168,478.44
5169,1090.03
5170,688.53
5170Pol,1038.17
5170Sil,1038.17
5170Vit,4000.27
5171,1047.02
5172,819.11
5173,722.80
5173Vit,2988.88
5174,501.23
5175,546.30
5175Sil,1001.55
5176,764.45
5176Sil,1228.64
5177,765.12
5177Sil,1202.24
5177Vit,3205.90
5178,877.02
5180,722.80
5181,671.74
5182,502.08
5182Sil,918.43
5182Vit,2857.44
5183,947.62
5184,1246.82
5184Sil,2143.13
5187,1090.03
5188,673.79
5188Sil,1236.55
5189,546.30
5189Sil,1001.55
5189Vit,2857.44
5190,1297.89
5191,722.80
5191Sil,1344.27
5193,722.80
5193Pol,1493.80
5193Sil,1344.27
5194,1246.82
5195,799.57
5195Sil,1494.34
5196,978.99
5197,860.06
5198,899.99
5199,1450.56
5200,689.57
5200Sil,1223.80
5200Vit,2721.01
5201,978.99
5204Pol,1029.90
5205,819.11
5205Pol,1700.24
5205Sil,1530.24
5206,722.80
5208,502.08
5209,509.29
5210,584.00
5211Pol,765.12
5212,550.41
5213Pol,1223.08
5214,546.30
5215,546.30
5216,912.50
5217Pol,1622.15
5220,1081.98
5221,764.45
5221Sil,1180.00
5222,1146.58
5223,688.53
5223Sil,1180.00
5223Vit,2857.44
5224,1272.35
5224Vit,5055.51
5225,546.30
5225Sil,834.23
5226,546.30
5226Sil,1001.55
5226Vit,2714.54
5227,764.45
5227Sil,1180.00
5229,764.45
5230,499.53
5230Pol,1285.91
5230Sil,918.43
5230Vit,2571.65
5231,941.97
5231Pol,1388.23
5231Sil,1857.33
5231Vit,3702.09
5232,1880.69
5233,935.46
5233Pol,2256.76
5233Sil,1449.63
5234,1186.84
5234Sil,2238.09
5234Vit,4973.83
5235,1429.14
5236,1129.78
5236Sil,1942.95
5236Vit,4734.17
5238,877.02
5238Sil,1631.85
5239,764.45
5240,819.11
5241,1396.93
5241Sil,2285.85
5243,478.44
5245,447.60
5246,461.65
5246Sil,693.66
5248,463.70
5248Vit,2171.48
5249,466.09
5249Sil,720.06
5250,604.39
5251,502.08
5251Sil,765.48
5252,429.26
5252Sil,714.31
5252Vit,2143.13
5253,722.80
5254,547.49
5254Pol,971.58
5254Sil,918.43
5255,502.08
5256,400.30
5256Pol,793.14
5256Sil,654.90
5258,604.39
5259,546.30
5260,673.79
5260Sil,1085.93
5261,578.86
5261Sil,884.86
5262,478.44
5263,519.40
5264,438.69
5264Sil,799.95
5266,447.60
5267,478.44
5267Sil,737.83
5268,436.45
5268Sil,1000.12
5269,722.80
5270,478.44
5270Sil,869.96
5270Vit,1934.16
5271,478.44
5271Sil,725.27
5272,746.28
5272Sil,1285.91
5274,1396.93
5276,1115.73
5277,819.11
5278,1081.98
5278Sil,2040.09
5279,935.46
5279Sil,1657.35
5280,1409.61
5280Sil,2215.11
5281,1009.14
5281Sil,1325.05
5282,1009.14
5282Sil,1739.74
5282Vit,3865.62
5284,1454.69
5284Sil,1942.26
5285,671.74
5285Pol,1657.35
5285Vit,2721.01
5287,819.11
5287Sil,1275.14
5288,819.11
5289,502.08
5290,502.08
5290Pol,1142.83
5290Sil,765.48
5290Vit,2041.32
5291,638.49
5291Sil,995.99
5292,502.08
5292Sil,1000.12
5292Vit,1953.91
5293,904.10
5294,502.08
5294Sil,917.70
5295,877.02
5295Vit,3304.63
5296,604.39
5296Sil,1000.12
5297,604.39
5297Sil,925.26
5298,935.46
5299,681.85
5300,783.28
5300Sil,1485.90
5301,671.74
5301Sil,1428.63
5302,478.44
5303,729.15
5303Sil,1371.56
5303Vit,3285.96
5304,1317.25
5304Vit,4539.57
5305,464.73
5305Sil,851.65
5306,935.46
5307,722.80
5307Sil,1485.90
5307Vit,2988.88
5308,447.60
5310,426.51
5310Sil,670.15
5310Vit,1787.48
5311,434.06
5311Sil,682.00
5311Vit,1818.56
5312,477.75
5312Pol,893.48
5312Sil,724.02
5313,478.44
5313Sil,725.27
5314,578.86
5315,722.80
5316,416.58
5316Sil,914.48
5317,406.99
5317Pol,893.84
5317Sil,670.15
5317Vit,1857.33
5319,546.30
5320,722.80
5321,440.74
5321Sil,692.59
5322,407.84
5322Sil,799.95
5323,447.60
5323Sil,676.62
5323Vit,2000.06
5324,447.60
5326,2825.42
5326Sil,4439.92
5326Vit,11839.65
5327,638.49
5328,935.46
5329,638.49
5330,746.28
5330Sil,1379.45
5333,604.39
5334,1047.02
5335,877.02
5336,713.03
5337,935.46
5338,819.11
5339,502.08
5339Pol,857.21
5340,935.46
5341,904.10
5345,638.49
5346,1196.27
5346Sil,2228.76
5346Vit,4973.83
5347,819.11
5348,546.30
5348Sil,834.23
5349,604.39
5350,764.45
5350Sil,1397.76
5353,1004.18
5354,1369.51
5354Sil,2428.74
5355,860.06
5355Pol,1334.38
5355Sil,1335.09
5355Vit,3558.30
5356,764.45
5356Sil,1371.56
5356Vit,3146.66
5357,1246.82
5358,1317.42
5360,978.99
5361,722.80
5362,982.24
5362Sil,1430.61
5362Vit,3814.83
5363,1186.84
5364,1396.93
5364Sil,2428.74
5365,954.67
5365Sil,1352.34
5366,1129.78
5367,820.99
5370,2379.86
5371,935.46
5372,1514.67
5373,1297.89
5374,1146.58
5374Sil,2142.22
5375,1696.83
5376,1302.69
5376Vit,5047.06
5381,1849.67
5381Sil,2906.61
5382,1359.06
5382Sil,2428.74
5383,2055.47
5384,2376.59
5385,1227.47
5385Pol,2156.78
5385Sil,2571.65
5390,1317.42
5391,1791.06
5391Sil,2814.72
5392,1838.02
5393,1696.83
5394,1390.26
5394Sil,2909.85
5394Vit,5540.57
5395,1363.53
5395Vit,5450.27
5400,502.08
5401,671.74
5402,502.08
5402Sil,765.48
5403,478.44
5405,546.30
5405Vit,2857.44
5406,558.46
5407,671.74
5407Sil,1285.91
5408,546.30
5409,578.86
5409/85,674.48
5410,673.79
5410Sil,1142.83
5412,478.44
5413,478.44
5414,502.08
5414Sil,918.43
5415,819.11
5415Vit,2857.44
5416,935.46
5417,546.30
5417Sil,834.23
5418,764.45
5419,671.74
5420,478.44
5420Sil,725.27
5421,502.08
5422,478.44
5423,467.98
5423Sil,725.27
5423Vit,2285.85
5424,478.44
5424Vit,1934.16
5425,478.44
5426,722.80
5427,461.82
5427Pol,799.95
5427Sil,833.88
5430,627.19
5431,502.08
