FAMILIA,PRUEBA,PRECIO
CORREAS,055S127,5531.71
CORREAS,055SHX127H,9591.76
CORREAS,059SP220H,10772.40
CORREAS,070SP160H,8881.96
CORREAS,078SP+220H,13145.50
CORREAS,081STP5M100HT,2806.08
CORREAS,085SHDN220H,7142.95
CORREAS,087SHX340,19583.38
CORREAS,087SP170H,8896.16
CORREAS,089SP190H,13479.10
CORREAS,089SP254H,15987.06
CORREAS,091S190,7258.89
CORREAS,091SP+200H,12262.98
CORREAS,091SP190,5574.30
CORREAS,091SP190H,12788.23
CORREAS,092SHX190H,13855.30
CORREAS,092SP220H,16117.19
CORREAS,093S190,7949.76
CORREAS,094SX190,8295.20
CORREAS,095S190,8295.20
CORREAS,095SP+234H,8631.17
CORREAS,095SP170H,8141.41
CORREAS,095SP190H,13228.31
CORREAS,095SP254H,13339.51
CORREAS,096SP170H,8399.30
CORREAS,097SP+216H,19183.53
CORREAS,097SP190,3806.89
CORREAS,097SP250H,16334.86
CORREAS,097SP254,9049.95
CORREAS,097SX190,8640.63
CORREAS,098S190,8640.63
CORREAS,099S150,5049.04
CORREAS,099S190,6395.30
CORREAS,099SHP+190H,13043.76
CORREAS,101SP170H,6821.18
CORREAS,103SP220H,15483.10
CORREAS,103SP254H,18123.56
CORREAS,104SP170H,7568.83
CORREAS,104SP170H1,11614.69
CORREAS,104SP240H,17290.73
CORREAS,104SP254H,17782.86
CORREAS,105S190,9419.05
CORREAS,105SP220H,17120.38
CORREAS,106S190,4855.03
CORREAS,106SP240H,18828.63
CORREAS,107SHP+180H,15987.06
CORREAS,107SHP+216H,16117.19
CORREAS,107SHP+220H,10770.03
CORREAS,107SHP+254H,10429.33
CORREAS,108SP170H,6463.91
CORREAS,108SP254H,18906.71
CORREAS,109SHP+250H,14505.95
CORREAS,109SP220H,13218.84
CORREAS,110SP210H,22025.09
CORREAS,110SP254H,22737.26
CORREAS,111S254,13136.03
CORREAS,111SP170,4041.13
CORREAS,111SP170H,7109.83
CORREAS,111SP200,7935.56
CORREAS,111SP254H,23723.88
CORREAS,112SP+280H,19912.26
CORREAS,112SP+300H,31261.96
CORREAS,112SP290H,31616.86
CORREAS,113SP170H,13015.37
CORREAS,114SP+170H,8134.31
CORREAS,114SP+254H,16032.02
CORREAS,115SX190,5574.30
CORREAS,116S190,4012.74
CORREAS,116SHDN200H,12456.99
CORREAS,116SHDN220H,11697.50
CORREAS,116SP190,5770.67
CORREAS,117S150,5049.04
CORREAS,117S170,5411.04
CORREAS,117SHP+210H,17655.09
CORREAS,117SP+220H,11789.78
CORREAS,118SP+300H,11283.45
CORREAS,118SP+300HK,29130.19
CORREAS,118SP190,5770.67
CORREAS,118SP190H,13289.82
CORREAS,118SX150,4327.41
CORREAS,118SX190,5247.79
CORREAS,119SP190H,15274.90
CORREAS,119SP254H,24457.34
CORREAS,120S150,4689.41
CORREAS,120SHX190H,14565.10
CORREAS,121SHP+210H,13339.51
CORREAS,121SHP+240H,18118.83
CORREAS,121SX170,5049.04
CORREAS,121SX180,4102.64
CORREAS,121SX180H,12305.57
CORREAS,121SX190,6549.09
CORREAS,122SHX265H,17461.08
CORREAS,122SP190H,14013.82
CORREAS,122SP240H,31971.76
CORREAS,122SP290H,22557.44
CORREAS,122SX190,5295.11
CORREAS,123S190,10715.61
CORREAS,123SHP+220H,45864.91
CORREAS,123SHP+240H,17406.66
CORREAS,123SHX190H,14446.80
CORREAS,123SP+290H,24651.35
CORREAS,123SP270H,22051.12
CORREAS,124P8SD220H,13180.99
CORREAS,124SP260H,21315.29
CORREAS,124SP290H,34460.79
CORREAS,124SX180H,18828.63
CORREAS,125SP190,7140.59
CORREAS,125SP190H,8810.98
CORREAS,125SP260H,18506.85
CORREAS,126SP270H,#Value!
CORREAS,127S254,11378.09
CORREAS,127SP190H,9102.00
CORREAS,127SP240H,16722.89
CORREAS,127SP254H,9497.12
CORREAS,128SP270H,32087.69
CORREAS,128SPR254,14863.21
CORREAS,128STP8M190,14172.34
CORREAS,129P8SD150H,12972.78
CORREAS,129P8SD220H,8929.28
CORREAS,129S220,7914.27
CORREAS,129SP+254H,20605.49
CORREAS,129SP240H,17685.85
CORREAS,129SP310H,22318.48
CORREAS,130SHDN254H,15199.18
CORREAS,130SHDN276H,24156.86
CORREAS,130SLDD150H,41565.89
CORREAS,130SP254,10990.07
CORREAS,131SHPN170H,12975.14
CORREAS,131SP+220H,17335.68
CORREAS,131SP+250HT,59140.54
CORREAS,131SP+254H,10964.04
CORREAS,132SP270H,15892.42
CORREAS,133SP254H,18118.83
CORREAS,133SR220,6558.55
CORREAS,134SHPN170H,12826.09
CORREAS,134SHPN180H,15284.36
CORREAS,134SP254H2,14990.98
CORREAS,135SHPN170H,14456.26
CORREAS,135SHX254,6757.30
CORREAS,135STP8M190H,8877.23
CORREAS,136SHX254H,12468.82
CORREAS,136SP+254H,19890.96
CORREAS,136SP254,9847.29
CORREAS,136SP254H,10680.12
CORREAS,137SHX230H,16266.25
CORREAS,137SHX254,11553.18
CORREAS,137SHX254H,12021.65
CORREAS,137STP8M190H,11155.69
CORREAS,138SHPN150,3754.84
CORREAS,138SHPN150H,14456.26
CORREAS,138STP8M230H,12584.75
CORREAS,140SP+254H,14354.52
CORREAS,141SHX250HT,42460.24
CORREAS,141SHX254H,29130.19
CORREAS,141SP+254H,17352.24
CORREAS,141SP280H,31616.86
CORREAS,142S180,6492.30
CORREAS,143S190,7949.76
CORREAS,143SHP+230H,18118.83
CORREAS,144SP+254H,17711.88
CORREAS,145SHP+220H,17406.66
CORREAS,145SHP+260H,22834.27
CORREAS,146S190,6851.94
CORREAS,146STP8M200H,8945.85
CORREAS,146STP8M240HT,24677.38
CORREAS,147SP+320H,38012.16
CORREAS,148SP230H,19183.53
CORREAS,148SP254,8569.65
CORREAS,148SP254H,14456.26
CORREAS,149SP254H1,23539.33
CORREAS,149SP300H,27649.08
CORREAS,149STP8M200H,12821.35
CORREAS,150STP8M230H,17013.91
CORREAS,151SP254,8756.57
CORREAS,151SP254/1,9052.32
CORREAS,151SP290HK,27710.59
CORREAS,151STP8M254H,27710.59
CORREAS,152SHDS300H,27710.59
CORREAS,152SHX300,19356.25
