PRUEBA,PRECIO
1001Pol,951.98
1002,679.66
1004,731.07
1005,806.52
1006,680.51
1007/85,721.12
1009,958.25
1010,1058.78
1011,806.52
1012,3782.39
1013,958.25
1014,1769.31
1015,1386.69
1016,958.25
1017,1260.04
1018,968.60
1019,5324.55
1020,3933.50
1021,2369.83
1022,1996.91
1023,3050.53
1024,1058.78
1025,958.25
1026,2369.83
1027,1563.50
1028,1744.25
1029,2606.73
1030,1705.28
1031,1815.34
1032/85,776.47
1033,1497.80
1034,806.52
1035/85,776.47
1036,958.25
1037,1058.78
1038,1134.43
1039,857.30
1041,1513.34
1042,1190.62
1043,706.20
1044,883.01
1045Pol,3301.31
1046,3328.06
1047,705.57
1048,699.14
1049,756.15
1050,12339.62
1052,2818.97
1054,10500.68
1055,1664.03
1057,12339.62
1058,1830.66
1059,3438.72
1060Pol,2657.68
1062,1830.66
1063,14813.74
1064Pol,4126.69
1067,3893.69
1069,1386.69
1071,1608.69
1073,1815.34
1075,2117.55
1076,2898.18
1079,3813.29
1080,1372.80
1081,1785.07
1083,1664.03
1084,1664.03
1085,965.30
1086,1391.87
1089,2773.17
1090,1512.72
1091,1210.09
1092,2773.17
1093,1785.07
1094,1210.09
1095,11877.45
1096,11217.62
1097,13088.32
1098,7934.58
1099,7469.64
1100,806.52
1101,13711.04
1101Pol,15800.02
1102,7288.33
1103,6889.05
1104,13061.83
1105,6456.31
1106,11248.80
1107,6889.05
1108,7288.33
1109,11217.44
1110,11051.00
1111,1478.52
1112,896.68
1113,1020.22
1114,1502.56
1114Pol,2361.06
1115,649.19
1116,1855.34
1117,2267.64
1118,3428.17
1119,896.68
1120,1109.15
1121Pol,1826.01
1122Vit,3638.57
1123Pol,1009.75
1124Pol,1458.15
1125Vit,1754.35
1126,1345.04
1127,1206.58
1128,1494.69
1129,3301.94
1130Vit,1258.39
1131Pol,1335.69
1132,1329.89
1133Vit,2429.69
1134Pol,1457.73
1135,927.99
1136,1004.69
1137,2155.27
1138,637.59
1139,1757.52
1140,2137.44
1141,1849.33
1142Tef,18479.73
1143Tef,15702.01
1144Tef,16504.33
1145,1590.46
1146,5640.44
1147,5372.62
1148,5371.79
1149,2061.82
1150,3804.59
1151,490.83
1152,1564.75
1153/85,1059.40
1154Vit,3221.85
1155/85,630.33
1156/85,803.01
1157/85,803.01
1158,7056.55
1159,2266.36
1160,659.98
1161,808.60
1162,867.67
1163,867.67
1164,867.67
1165,867.67
1166,916.58
1167,916.58
1168,1054.85
1169,1288.25
1170,1674.61
1171,1906.75
1172,2447.13
1173,1105.20
1174,735.64
1175,867.67
1176,916.58
1177,1054.85
1178,1290.92
1179,3089.91
1180,4332.71
1181Pol,1117.45
1182Vit,3635.07
1183Vit,3372.11
1184Vit,3462.00
1185Vit,2901.33
1186,974.00
1187Pol,1173.69
1188Pol,1741.10
1189,2082.93
1190,3040.98
1191,2225.55
1192,2455.61
1193,695.01
1194/85,716.76
1195/85,747.03
1196Pol,4455.69
1197Pol,898.78
1197Vit,1866.62
1198Pol,2181.49
1198Vit,3637.02
1199,1083.23
1200/85,682.56
1201,3992.40
1202Pol,1011.70
1202Vit,2698.31
1203,1322.24
1204/85,907.25
1205/85,907.25
1206,1325.14
1207/85,879.69
1208Vit,3946.25
1209,1105.41
1210,1161.39
1211,2570.87
1212,2704.76
1213,1584.64
1214,3736.41
1215,6006.90
1216,1218.39
1217,2086.67
1218,1854.73
1219,1112.48
1220/85,1059.40
1221/85,1059.40
1222/85,846.95
1223/85,846.95
1224/85,879.69
1225/85,713.04
1226,952.86
1227,3039.31
1228/85,1340.06
1229,822.27
1230,913.06
1231,1517.70
1232,2408.35
1233Vit,5089.57
1234,1005.51
1235Vit,11145.26
1236/85,1068.31
1237Sil,1914.60
1238Vit,7124.83
1239,2246.48
1240Vit,3283.51
1241,927.35
1242,1107.91
1243,3188.34
1244,765.48
1245,1674.61
1246,515.09
1247,566.92
1248,2125.42
1249,896.28
1250,896.28
1251Vit,1900.91
1252,1020.01
1253,1020.01
1254Vit,6912.55
1255,824.34
1256Pol,1068.59
1257Vit,10427.49
1258Vit,13311.44
1259Vit,6072.37
1260,1771.00
1261Vit,6860.37
1262,1159.72
1263,736.66
1264Pol,2048.16
1265Pol,1748.92
1266Vit,3637.02
1267Vit,2229.68
1268,1530.12
1269,953.28
1270,1429.59
1271,1251.15
1272Vit,3157.56
1273Vit,6477.56
1274Pol,1256.86
1275,2045.02
1276,1841.88
1277,10786.30
1278Pol,2817.51
1280Vit,18506.60
1281,2163.77
1282,2720.92
1283,908.92
1286Tef,13594.67
1287,669.93
1288Pol,1603.43
1289,2704.78
1290Vit,3885.87
1291,613.33
1292,1159.32
1293,1159.32
1294,1494.69
1295,1726.02
1296,669.71
1297,5590.06
1298,516.53
1299,3606.65
1300,2576.06
1301,2394.89
1302Vit,6477.15
1303,3500.11
1304,2547.89
1305/85,5202.03
1306/85,4607.56
1307,1107.91
1308,1107.91
1309,1107.91
1310,1184.61
1311,1391.05
1312,1391.05
1313,1468.36
1314,1674.61
1315,1906.13
1316,2447.13
1317,3992.77
1318,4662.52
1319,695.43
1320,490.62
1321,515.09
1322,515.09
1323,515.09
1324,566.70
1325,539.74
1326,566.70
1327,618.31
1328,647.96
1329,669.93
1330,669.93
1331,669.93
1332,695.43
1333,695.43
1334,695.43
1335,695.43
1336,695.43
1337,695.43
1338,747.03
1339,747.03
1340,3159.76
1341,850.06
1342,883.01
1343,883.01
1344,927.16
1345,1004.69
1346,1004.69
1347,1288.02
1348,1391.05
1349,2241.09
1350,2447.13
1351,2344.10
1352,2704.78
1353,2704.78
1354,2988.12
1355,3213.84
1356,809.63
1357,821.87
1358,927.35
1359,971.52
1360,1112.86
1361Pol,2075.95
1362,4440.52
1363Vit,4393.35
1364,2138.09
1365Pol,1062.72
1366,418.70
1367Pol,1297.04
1368,6441.77
1369,3112.71
1370,624.74
1371Pol,1597.35
1372,985.81
1373Tef,27322.35
1374Tef,29507.93
1376,1078.26
1377/85,670.75
1378,586.81
1380,1458.84
1381,1678.53
1382,2917.04
1383,2993.92
1384Vit,17166.48
1385Tef,11444.41
1386,2777.94
1387Vit,3444.79
1388Vit,987.93
1389Vit,1580.70
1390,1477.68
5025,479.85
5025Sil,794.98
5027,924.68
5027Sil,1624.50
5029,607.32
5029Pol,1382.37
5029Sil,1036.88
5029Vit,3110.67
5030,541.41
5031,483.99
5031Pol,760.46
5031Sil,863.82
5031Vit,2142.82
5032,541.41
5033,1374.05
5033Vit,5167.06
5035,1424.41
5035Sil,2238.15
5036,1424.41
5038,1040.33
5039,827.86
5040,589.29
5045,607.32
5045Pol,1234.05
5045Sil,925.93
5047,902.70
5048,902.70
5050,648.17
5052,654.58
5053,607.32
5053Sil,1313.54
5056,731.07
5056Sil,1119.19
5056Vit,3283.51
5057,660.80
5057Sil,1175.22
5060,767.77
5063,1433.74
5063Sil,2695.91
5065,660.80
5065Sil,1008.01
5065Vit,2690.91
5069,1241.18
5069Sil,1555.43
5070,607.32
5070Sil,925.93
5071,700.19
5071Sil,1284.21
5072,660.80
5072Sil,1211.48
5072Vit,3456.36
5074,458.30
5075,520.06
5077,607.32
5078,501.41
5078Sil,750.68
5079,874.29
5080,1318.50
5080Sil,2419.27
5080Vit,5484.29
5081,607.32
5083,763.62
5084,607.32
5084Sil,1382.37
5085,516.33
5085Sil,750.68
5086,607.32
5086Sil,925.93
5087,616.04
5087Sil,1001.05
5088,700.19
5089,607.32
5090,607.32
5090Pol,1209.74
5090Sil,1110.93
5091,1831.72
5092,786.84
5092Pol,1536.34
5093,902.70
5094,1710.25
5094Sil,2764.96
5095,1093.60
5096,520.90
5097,660.80
5097Sil,1211.48
5099,1208.63
5100,660.80
5101,772.32
5102,772.32
5103,720.30
5104,815.01
5105,541.41
5106,1820.73
5107,1669.20
5108,2217.06
5108Sil,3483.96
5109,1754.60
5111,1093.60
5111Sil,2031.85
5112,515.91
5112Sil,864.03
5119,557.79
5119Sil,1106.15
5120,763.62
5120Sil,1167.82
5121,812.53
5121Sil,1233.85
5122,772.32
5123,660.80
5123Pol,1451.65
5123Sil,1009.08
5124,778.75
5125,2051.83
5127,731.07
5127Sil,1244.26
