PRUEBA,PRECIO
6011,18667.15
6012,21436.31
6013,22236.50
6014,25419.24
6015,27673.68
6016,36457.69
6017,41845.43
6018,51263.29
6019,57759.15
6020,65185.55
6021,78206.47
6022,85313.70
6024,108633.59
6026,139065.20
6028,185747.68
6030,195547.65
6032,204239.51
6211,22528.70
6212,26230.66
6213,31616.15
6214,39595.48
6215,41301.49
6216,45358.59
6217,64117.89
6218,66199.26
6219,103798.79
6220,130366.60
6221,139065.20
6222,148865.17
6224,156419.69
6226,191225.33
6228,313086.63
6230,519551.36
6300,2807.38
6301,2029.67
6302,3292.88
6303,2780.40
6304,2991.69
6305,3848.06
6306,5897.96
6307,7727.59
6308,10341.67
6309,14050.37
6310,26522.86
6311,36149.76
6312,40555.25
6313,48628.99
6314,58487.40
6315,82584.99
6316,91238.64
6317,103234.61
6318,119663.05
6319,129944.03
6320,175008.17
6321,329515.07
6322,322866.37
6324,321535.73
6403,19440.36
6404,28473.86
6405,27206.16
6406,33560.41
6407,36758.89
6408,46300.37
6409,63863.90
6410,80227.16
6411,81395.96
6412,120087.87
6413,178964.12
6414,264156.45
6415,273261.88
16002,3731.18
16003,7682.64
16004,5814.80
16005,7639.93
16006,14059.36
16007,15203.44
16008,18574.99
16009,25178.74
16010,28208.64
16011,48437.94
16012,42243.27
16013,47183.72
16014,54839.38
16015,47768.12
16016,125473.36
16017,75895.84
16018,93657.16
16020,96662.34
16021,201420.89
16022,171106.16
16024,156444.42
16026,208885.50
16028,201870.43
16030,251153.50
16032,264468.88
16034,419713.02
16038,775890.31
16044,925762.45
16100,4704.44
16101,17475.87
30230,928882.25
30314,94515.79
30319,605298.87
32322,1192935.31
32924,157037.81
32926,158224.59
32928,168220.12
32934,236188.32
32936,255260.05
32938,928273.13
32940,1192063.20
32944,1186749.64
32948,1267210.55
33014,65057.43
33024,205916.29
33122,195491.46
33216,94300.01
33220,329458.88
51100,10782.22
51101,10782.22
51102,10537.22
51103,10638.36
51104,11085.66
51105,12139.83
51106,12800.65
51107,13893.03
51108,15448.44
51109,17363.48
51110,18473.85
51111,23083.88
51112,26437.45
51113,32364.63
51114,36738.66
51115,42301.71
51116,48620.00
51117,49622.47
51118,64084.17
51120,120582.36
51122,135378.97
51124,169098.97
51126,221991.84
51128,299162.13
51200,13238.95
51201,13351.34
51202,13155.79
51203,13701.98
51204,14403.26
51205,15760.87
51206,17765.82
51207,20872.14
51208,24279.66
51209,26797.08
51210,31715.05
51211,46217.21
51212,52784.99
51213,55952.00
51214,63023.26
51215,68523.38
51216,80683.44
51217,96992.75
51218,126208.36
51220,163780.91
51222,169588.97
51224,197849.30
51226,358649.76
51305,19878.66
51306,22789.43
51307,29761.80
51308,38188.42
51309,46511.66
51310,60521.57
51311,76916.29
51312,91474.65
51313,115817.24
51314,134590.03
51315,157044.55
51316,185657.77
51317,216356.86
51318,246163.61
51320,288224.82
51406,45711.47
51407,56397.04
51408,72416.40
51409,86394.84
51410,134075.31
51411,136082.50
52206,35084.35
52207,39644.93
52208,48426.70
52210,62326.47
52212,94641.66
52213,110144.04
52217,205484.73
52218,257307.71
52306,50669.90
52307,57505.16
52308,70150.72
52309,91027.35
52314,269861.11
53201,20085.45
53204,22423.06
53205,24729.20
53209,42845.66
53210,48620.00
53211,62216.34
53212,65592.38
53213,70660.94
53214,85704.80
53215,96945.55
53218,169910.39
53220,202214.33
53222,238757.44
53226,439411.86
53317,276930.13
53318,319883.67
54207,61011.57
54309,116304.99
61800,4949.44
61801,7824.24
61802,8563.74
61803,9422.36
61804,8314.24
61805,8435.62
61806,10391.12
61807,18959.35
61808,22382.60
61810,23301.91
61811,30935.10
61812,35769.90
61813,40869.93
61814,56100.34
61815,47696.19
